siteid,sex,age_group,num_patients,per_patients,P,N,standard_error,95_CI_below,95_CI_above,95_CI_below_x100,95_CI_above_x100
Singapore,All,0 - 2,2,3.4482758620689653,0.034482758620689655,2,0.016646848989298454,0.0,0.2873671888992043,0.0,28.736718889920432
Singapore,Female,0 - 2,1,3.3333333333333335,0.03333333333333333,1,0.03222222222222222,0.0,0.3851641007327876,0.0,38.51641007327876
Singapore,Male,0 - 2,1,3.571428571428571,0.03571428571428571,1,0.03443877551020408,0.0,0.3994449553037499,0.0,39.944495530374994
Singapore,Other,0 - 2,0,,,0,,,,,
USA,All,0 - 2,27,0.53475935828877,0.005347593582887699,27,0.00019699988243555397,0.0,0.03285749631562058,0.0,3.285749631562058
USA,Female,0 - 2,10,0.3743916136278547,0.0037439161362785474,10,0.000372989922824306,0.0,0.041597292306996186,0.0,4.159729230699619
USA,Male,0 - 2,17,0.7388092133854846,0.007388092133854845,17,0.00043138283696920695,0.0,0.04809681732269987,0.0,4.809681732269986
USA,Other,0 - 2,0,0.0,0.0,0,,,,,
France,All,3 - 5,7,0.05857250439293783,0.0005857250439293783,7,8.362599572889888e-05,0.0,0.01850938608714647,0.0,1.8509386087146469
France,Female,3 - 5,5,0.08111615833874108,0.0008111615833874109,5,0.00016210072005460945,0.0,0.02576564266718853,0.0,2.5765642667188526
France,Male,3 - 5,0,0.0,0.0,0,,,,,
France,Other,3 - 5,0,,,0,,,,,
Germany,All,3 - 5,4,0.5961251862891207,0.005961251862891207,4,0.0014814288347795958,0.0,0.0814003465796844,0.0,8.140034657968439
Germany,Female,3 - 5,0,0.0,0.0,0,,,,,
Germany,Male,3 - 5,4,1.1695906432748537,0.011695906432748537,4,0.002889778051366232,0.0,0.11705895195691947,0.0,11.705895195691946
Germany,Other,3 - 5,0,,,0,,,,,
Italy,All,3 - 5,0,0.0,0.0,0,,,,,
Italy,Female,3 - 5,0,0.0,0.0,0,,,,,
Italy,Male,3 - 5,0,0.0,0.0,0,,,,,
Italy,Other,3 - 5,0,,,0,,,,,
Singapore,All,3 - 5,1,1.7241379310344827,0.017241379310344827,1,0.01694411414982164,0.0,0.2723737153988046,0.0,27.237371539880463
Singapore,Female,3 - 5,0,0.0,0.0,0,,,,,
Singapore,Male,3 - 5,1,3.571428571428571,0.03571428571428571,1,0.03443877551020408,0.0,0.3994449553037499,0.0,39.944495530374994
Singapore,Other,3 - 5,0,,,0,,,,,
USA,All,3 - 5,6,0.11883541295306002,0.0011883541295306002,6,0.00019782365733223798,0.0,0.028755714576398295,0.0,2.8755714576398295
USA,Female,3 - 5,2,0.07487832272557095,0.0007487832272557095,2,0.000374111275467145,0.0,0.038659017674362264,0.0,3.8659017674362266
USA,Male,3 - 5,4,0.1738374619730552,0.0017383746197305518,4,0.00043383816835300713,0.0,0.042562787751396165,0.0,4.2562787751396165
USA,Other,3 - 5,0,0.0,0.0,0,,,,,
